Raw EMG - Pod01,Raw EMG - Pod02,Raw EMG - Pod03,Raw EMG - Pod04,Raw EMG - Pod05,Raw EMG - Pod06,Raw EMG - Pod07,Raw EMG - Pod08,Timestamp,activeCube Cube
-3,-1,-2,-1,-1,-1,-2,-1,2025-02-24 12:17:43.539
-3,-1,-2,-1,-1,-1,-2,-1,2025-02-24 12:17:43.547
-3,-1,-2,-1,-1,-1,-2,-1,2025-02-24 12:17:43.555
-2,-1,1,-2,-3,-1,-1,0,2025-02-24 12:17:43.567
0,0,-2,-1,-2,0,-1,-2,2025-02-24 12:17:43.578
-1,-1,1,-1,-1,0,-1,-1,2025-02-24 12:17:43.589
-1,0,-3,0,-2,-1,-1,-2,2025-02-24 12:17:43.601
-1,0,-3,0,-2,-1,-1,-2,2025-02-24 12:17:43.612
0,0,-3,0,-1,-2,0,-2,2025-02-24 12:17:43.623
0,0,-1,-2,-2,-2,0,-2,2025-02-24 12:17:43.637
0,-1,1,0,-3,-2,0,-1,2025-02-24 12:17:43.645
0,-1,1,0,-3,-2,0,-1,2025-02-24 12:17:43.657
-1,-1,-3,0,-2,0,-2,0,2025-02-24 12:17:43.668
-1,-1,-3,0,-2,0,-2,0,2025-02-24 12:17:43.679
1,-1,1,-1,-3,-1,-1,1,2025-02-24 12:17:43.691
-1,0,-2,-1,-3,-1,0,-3,2025-02-24 12:17:43.701
-1,-1,-1,1,-3,-3,-1,-1,2025-02-24 12:17:43.712
-2,1,-1,-2,-2,-3,-1,-2,2025-02-24 12:17:43.724
-2,1,-1,-2,-2,-3,-1,-2,2025-02-24 12:17:43.870
0,-2,-1,0,-2,-1,-1,-1,2025-02-24 12:17:43.876
-1,1,-2,1,-2,0,0,0,2025-02-24 12:17:43.881
-1,1,-2,1,-2,0,0,0,2025-02-24 12:17:43.891
-2,-2,-2,-2,-2,0,-3,0,2025-02-24 12:17:43.902
-2,-2,-2,-2,-2,0,-3,0,2025-02-24 12:17:43.913
1,-2,-2,-2,-3,-2,-1,-2,2025-02-24 12:17:43.925
-1,-1,1,-1,-2,0,-1,-1,2025-02-24 12:17:43.936
0,-1,-1,-1,-3,-3,-1,-1,2025-02-24 12:17:43.947
-2,-1,0,0,-1,-2,0,-2,2025-02-24 12:17:43.958
-2,-1,0,0,-1,-2,0,-2,2025-02-24 12:17:43.969
-1,0,0,-1,-2,0,0,-1,2025-02-24 12:17:43.980
-1,-2,-2,-2,-2,-2,-2,0,2025-02-24 12:17:43.991
0,-2,-1,-2,-3,-2,-1,0,2025-02-24 12:17:44.002
-1,1,0,-2,-2,-1,-1,-1,2025-02-24 12:17:44.014
1,-2,-2,0,-1,-1,-2,-1,2025-02-24 12:17:44.025
-1,-1,-1,0,-2,0,-1,1,2025-02-24 12:17:44.036
-2,0,0,-1,-3,-2,0,0,2025-02-24 12:17:44.047
-1,1,0,1,-1,-3,-2,-2,2025-02-24 12:17:44.058
-1,-2,-2,0,-3,-2,-2,-1,2025-02-24 12:17:44.069
-1,0,-4,-2,-2,0,-2,-3,2025-02-24 12:17:44.081
-3,-3,-2,-1,-1,-1,-2,0,2025-02-24 12:17:44.092
-1,-2,-2,-1,-2,0,0,0,2025-02-24 12:17:44.104
-2,1,0,-1,-1,-2,-2,-1,2025-02-24 12:17:44.114
0,-2,-2,-1,-3,-1,0,0,2025-02-24 12:17:44.125
1,0,-1,0,-3,-2,-3,-1,2025-02-24 12:17:44.136
1,0,-1,0,-3,-2,-3,-1,2025-02-24 12:17:44.147
0,0,-2,-1,-1,1,-2,-2,2025-02-24 12:17:44.159
0,0,-2,-1,-1,1,-2,-2,2025-02-24 12:17:44.170
-3,0,2,-2,-2,-1,-1,0,2025-02-24 12:17:44.181
-3,0,2,-2,-2,-1,-1,0,2025-02-24 12:17:44.193
0,-1,0,-3,-1,-1,-1,-2,2025-02-24 12:17:44.204
0,0,-1,-2,-4,0,-1,-2,2025-02-24 12:17:44.215
0,0,-1,-2,-4,0,-1,-2,2025-02-24 12:17:44.226
0,0,-2,-2,-1,0,0,-1,2025-02-24 12:17:44.237
-3,-2,0,-1,-3,-3,-1,-2,2025-02-24 12:17:44.248
-1,0,-3,-3,-2,-1,0,-1,2025-02-24 12:17:44.260
1,-1,-2,0,-2,-1,-2,-2,2025-02-24 12:17:44.271
-1,-2,-3,0,-2,0,-1,-1,2025-02-24 12:17:44.282
-6,-12,2,-5,-1,-2,-2,-1,2025-02-24 12:17:44.293
1,1,1,-2,-1,-2,-2,-2,2025-02-24 12:17:44.305
1,0,-2,1,-3,-1,-1,1,2025-02-24 12:17:44.316
-2,-3,-1,0,-3,-2,-3,-1,2025-02-24 12:17:44.327
-2,-3,-1,0,-3,-2,-3,-1,2025-02-24 12:17:44.338
-2,-1,0,-3,-2,-1,-1,-1,2025-02-24 12:17:44.349
-1,1,-4,-1,-2,-2,-1,0,2025-02-24 12:17:44.360
-2,1,0,1,-2,-1,-1,0,2025-02-24 12:17:44.372
-2,1,0,1,-2,-1,-1,0,2025-02-24 12:17:44.383
0,-2,-1,0,0,-2,-2,0,2025-02-24 12:17:44.394
0,-2,-1,0,0,-2,-2,0,2025-02-24 12:17:44.406
1,-1,-1,1,-1,1,0,-1,2025-02-24 12:17:44.418
1,-1,-1,1,-1,1,0,-1,2025-02-24 12:17:44.429
-1,-1,-3,-1,-1,-1,-2,-2,2025-02-24 12:17:44.441
-3,0,-1,-3,-6,-4,0,-2,2025-02-24 12:17:44.452
-3,0,-1,-3,-6,-4,0,-2,2025-02-24 12:17:44.464
3,2,-4,-1,-3,-1,-1,0,2025-02-24 12:17:44.476
-2,1,7,4,4,2,1,-1,2025-02-24 12:17:44.488
-1,-4,-9,-4,-9,-4,-3,-2,2025-02-24 12:17:44.499
1,6,29,4,2,-1,-2,-1,2025-02-24 12:17:44.510
-2,0,12,-6,-1,0,0,-1,2025-02-24 12:17:44.522
-1,-5,-25,-5,-4,0,-1,-3,2025-02-24 12:17:44.533
